timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1515503673615,855,HTTP Request,200,OK,Thread Group 1-3,text,true,,15832,181,12,12,855,0,12
1515503673528,942,HTTP Request,200,OK,Thread Group 1-1,text,true,,15832,181,12,12,942,0,99
1515503673532,1025,HTTP Request,200,OK,Thread Group 1-2,text,true,,15832,181,10,10,1023,0,95
1515503673699,898,HTTP Request,200,OK,Thread Group 1-4,text,true,,15832,181,9,9,896,0,2
1515503673865,864,HTTP Request,200,OK,Thread Group 1-6,text,true,,15832,181,8,8,861,0,4
1515503673782,964,HTTP Request,200,OK,Thread Group 1-5,text,true,,15832,181,7,7,961,0,3
1515503674032,871,HTTP Request,200,OK,Thread Group 1-8,text,true,,15832,181,6,6,867,0,3
1515503674116,929,HTTP Request,200,OK,Thread Group 1-9,text,true,,15832,181,5,5,927,0,3
1515503674200,1005,HTTP Request,200,OK,Thread Group 1-10,text,true,,15832,181,4,4,1001,0,3
1515503674284,944,HTTP Request,200,OK,Thread Group 1-11,text,true,,15832,181,3,3,941,0,3
1515503674368,960,HTTP Request,200,OK,Thread Group 1-12,text,true,,15832,181,2,2,956,0,3
1515503673949,3850,HTTP Request,200,OK,Thread Group 1-7,text,true,,15832,181,1,1,3845,0,2
